track_id,track_name,track_popularity,track_album_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
6f807x0ima9a1j3VPbc7VN,I Don't Care (with Justin Bieber) - Loud Luxury Remix,66,2oCs0DGTsRO98Gh5ZSl2Cx,pop,dance pop,0.748,0.916,6,-2.634,1,0.0583,0.102,0,0.0653,0.518,122.036,194754
1z1Hg7Vb0AhHDiEmnDE79l,All the Time - Don Diablo Remix,70,1HoSmj2eLcsrR0vE9gThr4,pop,dance pop,0.675,0.931,1,-3.432,0,0.0742,0.0794,2.33E-05,0.11,0.613,124.008,176616
3eFJI470ALf1EYjywPRsJy,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,58,49bXZtlI5kQSqQMSCnSaWO,pop,dance pop,0.679,0.923,6,-6.5,1,0.181,0.146,4.92E-06,0.124,0.752,121.984,207894
2v3DuCVBbopteJqdM7aKQK,Let It Be Me - Sondr Remix,35,097kyycr5ZuLS2cPwwUHwt,pop,dance pop,0.467,0.821,7,-5.466,1,0.0934,0.00791,4.41E-04,0.131,0.232,122.676,185366
1zzOMDmkRZy0g9f4JTAZKn,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,8,5bMicFMWsZlRZNTDq9h3oA,pop,dance pop,0.663,0.905,1,-3.781,0,0.0511,0.0325,0,0.333,0.397,125.996,175000
3kgKVcBpBGuSeaEC0AZGlb,Old Town Road - Diplo Remix,74,66FxETmTBazRMZNbvGtGQl,pop,dance pop,0.766,0.771,6,-9.108,1,0.0576,0.00407,3.76E-06,0.113,0.297,140.036,204027
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,85,3KjXg0MDej2pG9fv6I22lT,pop,dance pop,0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,223523
6XqvFyJGdUD5IWee02ARKU,Polaroid,16,6x8gRx7RDvPckYBzPodW8w,pop,dance pop,0.652,0.898,7,-4.481,0,0.0361,0.29,0,0.073,0.472,114.043,193377
48GmVZwvkoVC5StfMLfNJE,Need U,24,2yBTjWwQLEr2i0LTIcUmwT,pop,dance pop,0.714,0.705,10,-6.479,1,0.0995,0.292,3.86E-04,0.126,0.471,114.994,219521
2IDHoSlbG0CKH9rhq68wTb,Say My Name (feat. Zyra) - RAC Mix,47,7Eg6srmG6BVIEiUmiRjzI4,pop,dance pop,0.647,0.624,9,-8.446,1,0.0451,0.025,0.056,0.0616,0.477,115.002,243091
